ROUND_ID: R041_FORMAL_CLOSE_STATUS_UPDATE_CANDIDATE
TASK_TYPE: r041_formal_close_status_update_candidate
FORMAL_STATUS_CODE: R041_FORMAL_CLOSE_STATUS_UPDATE_CANDIDATE_READY_AWAITING_MANUAL_REVIEW
BASE_HEAD: ccd1881da3fd6da4e0384eeec7b318ef44b6cb99
CANDIDATE_HEAD: 4e2b36fcb22704acb2e5486f8cbe1758dc56a28c
CANDIDATE_BRANCH: candidate/r041-formal-close-status-update
R041_TOPIC: features / regimes / strategies
R041_GAP_HARDENING_COMPLETED: YES
R041_FORMAL_CLOSE_STATUS_UPDATE: CANDIDATE_READY
MANIFEST_LAST_COMPLETED_ROUND: R041
MANIFEST_NEXT_ROUND_TO_DISPATCH: R042
CHAIN_STATUS: r041_completed_ready_for_r042_readiness_or_scope_audit
VALIDATE_CANONICAL_REPAIR_74: success
VALIDATE_ROUND_292: success
LAW04_LIFECYCLE_GAP_DEFERRED: TRUE
NEA_GAP_DEFERRED: TRUE
CALIBRATION_SETUP_SOP_GAP_DEFERRED: TRUE
GLOBAL_FAIL_RULE_6_REGIME_UNCERTAINTY_GAP_DEFERRED: TRUE
DEFERRED_GAPS_FALSELY_CLAIMED_COMPLETE: FALSE
UI_DASHBOARD_DEFERRED: TRUE
CONTRACT_ONLY: TRUE
R042_STARTED: FALSE
R049_STARTED: FALSE
R038_R048_ACCEPTED: FALSE
PHASE2_COMPLETED: FALSE
ORDER_EXECUTION_ALLOWED: FALSE
BROKER_API_CALLED: FALSE
RUNTIME_STARTED: FALSE
SOURCE_MODIFIED: FALSE
TESTS_MODIFIED: FALSE
VALIDATOR_MODIFIED: FALSE
WORKFLOW_MODIFIED: FALSE
LAW_MODIFIED: FALSE
SERVER_V2_MODIFIED: FALSE
INDEX_V2_MODIFIED: FALSE
ENV_MODIFIED: FALSE
SECRET_EXPOSED: FALSE
RECOMMENDED_NEXT_ACTION: AWAITING_MANUAL_REVIEW_FOR_R041_FORMAL_CLOSE_STATUS_UPDATE_CANDIDATE
FINAL_RECOMMENDATION: DO_NOT_MERGE_WITHOUT_USER_SIGNOFF | DO_NOT_PUSH | DO_NOT_RERUN_WORKFLOW | DO_NOT_START_R042 | DO_NOT_START_R049 | DO_NOT_ACCEPT_R038_R048_YET | R041_FORMAL_CLOSE_ONLY_NEXT | UI_DASHBOARD_DEFERRED | ORDER_EXECUTION_ALLOWED_REMAINS_FALSE
